enrollment_id,provider_id,payer_id,enrollment_type,credentialing_status,claims_enrollment_status,era_enrollment_status,clearinghouse_portal_updated,clearinghouse_configuration_status,credentialed_npi,enrolled_npi,npi_match_status,blocker_reason,submitted_date,approved_date,current_status,action_required_flag,claims_ready_flag,era_ready_flag
ENR001001,PRV001,PYR001,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000001,2000000001,"NPI Match","No blocker",2026-01-19,2026-01-29,Ready,No,Ready,Ready
ENR001002,PRV001,PYR002,Claims,Completed,Approved,"Not Required",Yes,Completed,2000000001,2000000001,"NPI Match","No blocker",2026-01-30,2026-02-10,Ready,No,Ready,"Not Applicable"
ENR001003,PRV001,PYR003,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000001,2000000001,"NPI Match","No blocker",2026-02-10,2026-02-22,Ready,No,Ready,Ready
ENR001004,PRV001,PYR004,ERA,Completed,"Not Required",Approved,No,Pending,2000000001,2000000001,"NPI Match","Clearinghouse portal not updated",2026-02-21,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR001005,PRV001,PYR005,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000001,2000000001,"NPI Match","Missing payer approval",2026-03-04,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR001006,PRV001,PYR006,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000001,2000000001,"NPI Match","No blocker",2026-03-15,2026-03-30,Ready,No,Ready,Ready
ENR001007,PRV001,PYR007,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000001,2000000001,"NPI Match","Wrong payer ID",2026-03-26,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR001008,PRV001,PYR008,Claims,Completed,Rejected,"Not Required",Yes,"Issue Found",2000000001,2000000001,"NPI Match","Incorrect PTAN/provider number",2026-04-06,NULL,Blocked,Yes,"Not Ready","Not Applicable"
ENR001009,PRV001,PYR009,ERA,Completed,"Not Required",Approved,No,Pending,2000000001,2000000001,"NPI Match","Clearinghouse portal not updated",2026-04-17,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR001010,PRV001,PYR010,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000001,1000000001,"NPI Mismatch","Individual NPI used instead of group NPI",2026-04-28,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR002001,PRV002,PYR001,Claims,Completed,Approved,"Not Required",Yes,Completed,2000000002,2000000002,"NPI Match","No blocker",2026-01-26,2026-02-06,Ready,No,Ready,"Not Applicable"
ENR002002,PRV002,PYR002,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000002,2000000002,"NPI Match","No blocker",2026-02-06,2026-02-18,Ready,No,Ready,Ready
ENR002003,PRV002,PYR003,ERA,Completed,"Not Required",Approved,No,Pending,2000000002,2000000002,"NPI Match","Clearinghouse portal not updated",2026-02-17,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR002004,PRV002,PYR004,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000002,2000000002,"NPI Match","Missing payer approval",2026-02-28,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR002005,PRV002,PYR005,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000002,2000000002,"NPI Match","No blocker",2026-03-11,2026-03-26,Ready,No,Ready,Ready
ENR002006,PRV002,PYR006,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000002,2000000002,"NPI Match","No blocker",2026-03-22,2026-04-07,Ready,No,Ready,Ready
ENR002007,PRV002,PYR007,Claims,Completed,Rejected,"Not Required",Yes,"Issue Found",2000000002,2000000002,"NPI Match","Wrong payer ID",2026-04-02,NULL,Blocked,Yes,"Not Ready","Not Applicable"
ENR002008,PRV002,PYR008,ERA,Completed,"Not Required",Approved,No,Pending,2000000002,2000000002,"NPI Match","Clearinghouse portal not updated",2026-04-13,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR002009,PRV002,PYR009,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000002,1000000002,"NPI Mismatch","Individual NPI used instead of group NPI",2026-04-24,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR002010,PRV002,PYR010,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000002,2000000002,"NPI Match","Missing payer approval",2026-05-05,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR003001,PRV003,PYR001,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000003,2000000003,"NPI Match","No blocker",2026-02-02,2026-02-14,Ready,No,Ready,Ready
